Area,Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Western Europe,Denmark,4278.4,4199.6,4210.9,4105.6,4061.9,4074.8,4127.0,4172.6,4147.1,4011.6,4260.1,4209.1,4086.0,4109.5,3915.4,4279.8,4128.3,4286.7,4030.8,4291.5,4000.0,4125.0,3783.6,3617.3,3579.5,3816.2,3893.2,4453.7,4666.2,4980.4,5113.0
Western Europe,Finland,2570.3,2617.3,2543.7,2501.8,2251.0,2492.2,2680.4,2738.9,2386.2,2522.8,2404.0,2451.4,3112.5,3300.6,3395.5,3456.8,3256.9,3511.0,3685.7,3604.1,3661.8,3706.7,3730.1,3538.5,3617.9,3632.1,3569.9,3676.0,3706.2,4087.5,5560.6
Western Europe,France,52918.1,51253.2,50685.3,50946.1,48424.1,47272.2,47443.0,46182.0,46570.5,46043.7,45901.8,46844.9,48257.9,49575.4,48559.3,48783.0,48764.6,48410.2,51991.9,49527.3,48054.5,47316.3,47009.7,47827.9,49136.2,51041.3,51712.9,50437.1,51270.4,52747.1,53559.6
Western Europe,Germany,58152.4,55306.2,49719.2,46368.3,45605.3,44713.6,43063.1,43211.8,44085.4,43389.9,42676.7,42792.8,42208.0,40915.0,34099.3,39378.5,39438.7,40371.2,41900.1,42002.0,41150.5,42326.4,40761.7,40810.0,41510.7,43252.8,44479.7,45710.4,50148.5,53211.0,52487.7
Western Europe,Greece,5427.9,5640.7,5505.8,5600.6,5720.4,6063.1,6461.1,7040.6,7371.1,7779.7,7608.4,7463.4,6394.0,7029.9,7601.8,7903.7,7897.4,8779.4,9204.9,7073.6,5695.1,5037.1,4703.7,4665.3,4947.5,5153.7,5149.6,5504.3,5501.2,5301.4,7743.9
Western Europe,Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Europe,Ireland,949.0,939.0,946.2,967.6,975.5,1027.6,1088.6,1097.8,1135.6,1165.1,1264.2,1214.1,1163.9,1181.7,1197.0,1187.0,1195.6,1238.3,1222.6,1165.0,1104.4,1045.9,1040.3,1036.5,1039.5,1047.2,1052.8,1075.6,1129.1,1144.4,1197.5
Western Europe,Italy,29254.6,28413.8,28565.3,27859.1,25443.8,28036.0,29397.3,30369.8,31557.7,33662.6,33109.8,34014.8,34291.4,34403.7,33099.3,32026.9,31113.1,32401.2,31339.2,30444.3,29814.0,27558.9,26503.5,24466.9,23428.2,26540.3,27302.9,27575.7,26821.8,28921.3,30265.2
Western Europe,Luxembourg,163.5,170.6,155.5,171.5,167.4,172.9,186.7,200.3,203.2,207.5,260.2,232.2,245.7,258.1,261.1,255.6,265.1,198.2,196.1,247.3,213.6,208.0,215.5,231.2,272.5,257.2,341.9,351.9,396.5,405.8,433.7
Western Europe,Malta,35.0,41.8,44.4,47.6,47.6,50.9,49.5,45.4,43.9,42.7,45.6,45.0,46.5,49.0,61.9,50.2,50.3,51.6,56.2,57.7,50.8,48.0,49.4,51.8,56.2,64.5,67.5,66.1,82.2,68.0,81.3
Western Europe,Netherlands,12376.0,12305.8,11308.1,10905.0,10595.4,10646.3,10541.8,10506.5,11022.5,10583.2,10862.0,10850.1,11006.9,11086.8,11106.3,11630.7,11787.5,11583.8,11833.8,11335.5,10954.7,10293.7,9587.9,9601.2,9578.0,10068.9,10288.9,11156.8,12373.6,13085.7,13015.2
Western Europe,Norway,4099.9,4443.1,4140.4,4353.5,3931.6,3985.5,3919.3,4178.9,4199.8,4060.4,4087.1,4911.6,4722.1,4841.8,4555.4,4546.6,4837.0,4864.1,5160.6,5080.0,5175.8,5270.1,5392.5,5626.2,5585.2,5796.7,6397.5,6740.1,7131.5,7269.9,7329.2
Western Europe,Portugal,3562.6,3658.2,3541.4,3445.2,3700.0,3569.3,3640.8,3565.5,3750.6,3862.4,4018.6,4128.3,3985.6,4232.8,4487.6,4343.9,4172.2,4188.1,4580.6,4517.3,4315.2,3832.2,4222.9,3688.4,3807.8,4399.8,3804.6,4163.8,4376.8,4303.0,4675.3
Western Europe,Spain,16735.5,16325.8,15907.9,16072.1,16199.6,15688.2,15534.9,16303.4,17916.2,18516.2,18310.7,16972.9,17225.9,18005.8,18230.0,18827.1,19526.3,19418.9,18641.9,18762.8,17308.8,17505.0,15271.7,15249.2,16209.2,15030.2,16634.0,17276.8,17444.4,17431.8,18408.0
Western Europe,Sweden,5705.9,5612.7,5546.8,5455.2,4750.0,4106.1,5490.2,5676.3,5924.9,6105.9,6043.6,5669.2,5628.0,5296.5,5365.4,5281.8,5420.3,4821.0,4727.9,5116.7,4811.0,4911.6,4940.2,5233.9,5290.2,5360.0,5359.7,5536.7,6026.0,6271.3,7176.2
Western Europe,Switzerland,7563.2,7343.9,6521.0,6461.8,6538.1,6186.7,5963.3,5949.3,5506.8,5424.6,5297.6,5070.8,4938.8,4847.2,4771.2,4541.7,4570.2,4681.3,4676.4,4517.1,4637.9,4552.9,4943.2,4478.6,4664.5,4851.7,4880.6,4915.2,5277.5,6389.7,5563.5
Western Europe,United Kingdom,62523.8,58399.1,55731.5,54198.2,50834.5,50348.5,48560.6,48719.3,48459.6,49435.3,51393.2,54448.5,58325.2,59049.0,59601.1,59874.5,61504.6,64197.2,65225.8,64129.5,61961.4,60240.9,58038.5,57000.8,54809.6,54618.5,54254.4,54979.4,57713.2,60675.0,62489.3
