Area,Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Eastern Europe,USSR,...,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Western Europe,Austria,1994.055546,2139.925322,2115.115267,2227.56055,2557.834494,2457.903049,2164.802343,2159.796003,2124.379546,1925.557398,1788.798311,1881.746741,2381.962769,2679.282065,2686.166244,2640.185362,3499.817967,3746.731607,3334.75494,3218.351224,3409.721209,3187.227449,3229.065841,3305.159256,2665.409782,2885.947386,3153.118624,3387.982012,3237.796686,3601.618603,3825.331126
Western Europe,Belgium,4624.500746,4131.298112,3746.042851,3944.101813,4449.014835,4241.865968,3684.095389,3664.288413,3598.44752,3190.805233,3036.035472,3147.146017,3875.697772,4262.663513,4228.224643,4307.895341,5163.979974,6295.821584,5620.670063,5244.720513,5499.370964,5168.997834,5263.164883,5191.507315,4202.06277,4255.489555,4432.808396,4840.126058,4761.195701,5442.835974,6311.494797
Western Europe,Cyprus,418.3873687,630.127106,268.2772716,298.4691269,298.8333855,448.0759093,534.1411887,483.7486451,289.970367,281.1603743,327.6271603,242.483491,288.4276058,338.4745663,380.8750288,387.703672,405.1763685,453.8030542,471.3527811,477.5874286,479.7353184,414.4963214,384.925361,357.8068226,327.89176,295.35501,359.061651,450.4089799,463.6139722,483.4150234,517.5023652
Western Europe,Denmark,2671.946671,2837.745377,2682.011246,2718.790042,3117.966146,3086.224945,2804.317083,2846.065338,2784.881254,2392.510831,2525.225825,2694.082493,3199.158428,3578.83246,3468.45292,3896.730668,4175.652589,4788.030121,4337.35569,4503.492127,4518.590127,4422.458084,4216.647585,4056.861511,3364.047774,3592.727944,3764.033344,4558.690187,4556.755136,4980.428135,5391.221374
Western Europe,Finland,2200.991549,2075.95555,1615.424809,1756.338984,1908.986807,2021.797095,1947.00259,1959.708814,1653.905119,1558.13525,1479.270879,1611.406522,2475.059743,2892.938124,2999.391049,3128.517474,3296.55775,3958.118334,3940.584835,3717.180505,4099.505807,3943.239958,4161.139945,3985.508352,3399.134967,3415.00825,3431.090217,3756.949117,3629.646216,4087.54132,5903.500473
Western Europe,France,35869.12092,37902.26982,35775.27329,37288.60606,40124.02414,38977.7341,34697.9041,33633.56128,32672.71428,28403.13895,27951.56638,30578.39893,38569.11581,44524.57961,44442.05052,45792.14842,50684.46738,55365.96584,56441.4554,52044.06057,54120.87101,50216.5074,52001.46245,53134.7509,45647.47164,47370.58955,49195.66225,51409.81284,50118.92921,52747.06486,56646.99622
Western Europe,Germany,37196.72973,39502.45227,35030.53759,34197.70564,38742.6991,36701.18977,31267.7104,31200.76808,30690.15843,26497.59316,25815.40196,27611.35567,32997.36302,35776.57389,30324.96518,35883.65797,40110.85928,45098.95631,44528.92784,43025.91501,45163.21288,43798.22535,44242.6473,44662.83117,38170.02107,39855.04731,42210.25809,46423.0209,49007.51232,53210.98826,56017.02933
Western Europe,Greece,3146.899035,3623.052915,3364.41333,3587.244914,4179.913247,4613.167577,4573.516492,4824.257169,5012.285642,4564.522446,4428.103552,4734.177215,5035.585542,6267.468787,7028.428593,7607.186182,8533.090258,10574.1385,10641.34818,8163.619387,7128.608267,5914.988423,5655.183036,5531.285909,4818.121326,4963.484464,5088.178883,5757.114361,5471.56292,5301.379232,8079.943236
Western Europe,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Europe,Ireland,624.9326581,674.0350445,597.7237656,633.6993791,702.0397031,750.9872458,765.3055133,742.4021532,741.5086078,694.6747743,767.7783644,811.2559409,965.199981,1101.860647,1144.978361,1190.379117,1372.22537,1582.890834,1415.725373,1274.228688,1300.331547,1157.53173,1195.763444,1192.733691,997.005656,1001.610418,1025.063447,1107.137377,1112.740708,1144.420381,1267.738884
Western Europe,Italy,21585.70677,22177.09039,18242.0139,18062.45908,17185.853,20793.12883,20156.10226,20825.12535,21016.45691,19878.72093,19519.38148,21610.05976,26824.21329,30261.07665,29737.64239,29633.02226,31982.43179,36839.98975,34054.48132,32020.81995,33828.80497,29781.00821,29957.4459,27701.03433,22180.84507,25033.02789,26447.89292,28420.09844,26380.67398,28921.34276,32006.13765
Western Europe,Luxembourg,97.33405222,111.3206765,97.65306971,113.8345735,128.5217643,127.8338843,121.1306064,129.3194412,127.052872,115.6987271,144.7122216,138.5931695,179.4592624,212.0179594,220.2108967,223.272213,258.4327972,213.8645768,201.4328124,247.6673576,232.1524143,214.5718713,233.6823964,252.0794231,249.5286681,235.5559447,323.1380293,355.275427,386.2516794,405.7904936,460.0283822
Western Europe,Malta,21.74481812,26.69269081,24.63770557,27.87026214,31.14485996,33.29617482,31.14221489,29.08126841,27.98662066,25.35394805,27.11932311,28.4036908,34.125502,40.52646919,52.49896332,44.43442584,49.26337712,56.03251913,59.11011151,58.72894993,55.89312648,49.92200891,53.78943888,56.51487992,51.79660641,59.67292299,64.23588817,66.86909104,80.26757725,67.983586,84.9089404
Western Europe,Netherlands,7246.192325,7904.561273,7054.868962,7137.373801,8011.539559,7829.004728,6839.136799,6836.084823,7026.43329,5971.807629,6200.391943,6728.153969,8356.33847,9377.114724,9566.980053,10217.76574,11480.37742,12374.84894,12131.81208,11220.52328,11647.93461,10364.72079,10226.26032,10332.60288,8667.849617,9115.240932,9580.685498,11114.92747,12000.67174,13085.71754,13752.01041
Western Europe,Norway,3287.551636,3803.68493,3175.583193,3403.291213,3508.040839,3537.003416,3253.032488,3324.939365,3309.198286,2922.34351,2965.973987,4065.868548,4517.514992,4887.380337,4884.904928,5011.748967,5875.2881,6370.921986,6195.603602,6498.659038,7232.260585,7143.962183,7391.829787,7336.785328,5815.228175,5997.385048,6853.260033,7541.055169,7542.13579,7269.88003,8251.716513
Western Europe,Portugal,2115.383815,2532.649406,2192.208142,2173.63473,2670.121572,2600.849533,2388.687811,2335.597096,2406.49374,2204.256495,2324.811411,2602.230483,3109.812942,3719.431562,4039.322489,4066.783668,4366.184075,4812.099462,4949.690419,4718.924038,4904.393519,4137.254045,4724.102082,4111.548064,3565.420872,4133.066817,3675.68723,4273.809945,4275.638155,4302.975037,4908.940397
Western Europe,Spain,11680.26375,12250.19543,10041.51135,10092.67126,11439.90627,11294.31685,9865.892241,10333.41723,11113.72249,10273.77925,10222.07408,10270.83902,12880.5328,15262.45864,15997.72422,17252.21761,20065.66863,22227.72183,20178.27498,19710.78545,19695.43549,18860.62336,17242.95932,17178.54931,15187.16868,14014.43964,16043.53326,17823.27113,17189.3193,17431.77932,19544.46547
Western Europe,Sweden,5878.822053,6141.834497,4752.660459,4818.836776,4653.429166,4301.745512,5085.207514,5035.805617,5080.829732,4764.337105,4283.625873,4354.573015,5305.640404,5514.710385,5518.466926,5577.203266,6386.221162,6024.791006,5062.962024,5885.9358,6324.747364,6243.671605,6528.737467,6555.518064,5386.942196,5427.549191,5526.592999,5732.822794,5839.555791,6271.285838,7887.360075
Western Europe,Switzerland,4016.764413,4138.043834,3611.212626,3899.275421,4645.360982,4239.447901,3498.218851,3494.250971,3146.822887,2800.146846,2763.655325,2882.696762,3270.337504,3503.819863,3484.636759,3328.973394,3524.746536,4098.459038,4055.544323,4115.407849,4973.863849,4592.165378,5032.883664,4612.776477,4521.076909,4571.348247,4628.401509,4736.844967,5021.93159,6389.669862,5738.402626
Western Europe,United Kingdom,47045.45733,45592.59182,38113.20679,38569.0135,38294.28308,38566.13465,39889.94745,41222.12583,40760.40067,39343.71127,39512.57994,44245.266,52343.12228,60250.78254,61653.63504,64217.61953,73448.03201,72915.40767,64010.50667,63979.11197,66569.55257,65452.48755,63837.72486,66995.46865,59990.20572,53327.32763,51633.53922,55680.22821,56856.13307,60675.03963,68366.44055
